,domain,ip
0,facebook.com,31.13.82.36
0,facebook.com,157.240.209.35
0,facebook.com,157.240.235.35
0,facebook.com,31.13.75.35
0,facebook.com,157.240.3.35
0,www.facebook.com,31.13.82.36
0,www.facebook.com,157.240.209.35
0,www.facebook.com,157.240.13.35
0,www.facebook.com,31.13.75.35
0,www.facebook.com,157.240.3.35
0,m.facebook.com,31.13.82.36
0,m.facebook.com,157.240.209.35
0,m.facebook.com,157.240.13.35
0,m.facebook.com,31.13.75.35
0,m.facebook.com,157.240.3.35
0,gateway.facebook.com,31.13.82.23
0,gateway.facebook.com,157.240.209.9
0,gateway.facebook.com,157.240.13.9
0,gateway.facebook.com,31.13.75.17
0,gateway.facebook.com,157.240.3.15
0,connect.facebook.com,31.13.82.36
0,connect.facebook.com,157.240.209.35
0,connect.facebook.com,157.240.235.35
0,connect.facebook.com,31.13.75.35
0,connect.facebook.com,157.240.3.35
0,web.facebook.com,157.240.209.16
0,web.facebook.com,157.240.235.15
0,web.facebook.com,31.13.75.1
0,web.facebook.com,31.13.82.1
0,web.facebook.com,157.240.3.20
0,lookaside.facebook.com,31.13.82.7
0,lookaside.facebook.com,157.240.209.14
0,lookaside.facebook.com,157.240.13.19
0,lookaside.facebook.com,31.13.75.13
0,lookaside.facebook.com,157.240.3.29
